2026-04-21T21:15:02.036Z [INFO ] Logger started — level=info, dir=/Users/yuna/projects/meal-nutrition-app-v3/data/logs
2026-04-21T22:08:59.291Z [INFO ] GET /api/summary/2026-04-11 304 240ms pid=eugene_1774743355860
2026-04-21T22:08:59.343Z [INFO ] GET /api/summary/2026-04-13 304 52ms pid=eugene_1774743355860
2026-04-21T22:08:59.402Z [INFO ] GET /api/summary/2026-04-14 304 110ms pid=eugene_1774743355860
2026-04-21T22:08:59.467Z [INFO ] GET /api/summary/2026-04-12 304 124ms pid=eugene_1774743355860
2026-04-21T22:08:59.525Z [INFO ] GET /api/summary/2026-04-15 304 182ms pid=eugene_1774743355860
2026-04-21T22:08:59.583Z [INFO ] GET /api/summary/2026-04-16 304 239ms pid=eugene_1774743355860
2026-04-21T22:08:59.651Z [INFO ] GET /api/summary/2026-04-18 304 307ms pid=eugene_1774743355860
2026-04-21T22:08:59.718Z [INFO ] GET /api/summary/2026-04-17 304 134ms pid=eugene_1774743355860
2026-04-21T22:08:59.791Z [INFO ] GET /api/summary/2026-04-19 304 73ms pid=eugene_1774743355860
2026-04-21T22:08:59.858Z [INFO ] GET /api/summary/2026-04-21 304 140ms pid=eugene_1774743355860
2026-04-21T22:08:59.919Z [INFO ] GET /api/summary/2026-04-20 304 201ms pid=eugene_1774743355860
2026-04-21T22:08:59.926Z [INFO ] GET /api/supplog/2026-03-29/totals 304 208ms pid=eugene_1774743355860
2026-04-21T22:08:59.927Z [INFO ] GET /api/supplog/2026-03-28/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.927Z [INFO ] GET /api/supplog/2026-03-30/totals 304 0ms pid=eugene_1774743355860
2026-04-21T22:08:59.929Z [INFO ] GET /api/supplog/2026-03-31/totals 304 2ms pid=eugene_1774743355860
2026-04-21T22:08:59.934Z [INFO ] GET /api/supplog/2026-04-02/totals 304 7ms pid=eugene_1774743355860
2026-04-21T22:08:59.934Z [INFO ] GET /api/supplog/2026-04-03/totals 304 6ms pid=eugene_1774743355860
2026-04-21T22:08:59.934Z [INFO ] GET /api/supplog/2026-04-04/totals 304 6ms pid=eugene_1774743355860
2026-04-21T22:08:59.940Z [INFO ] GET /api/supplog/2026-04-05/totals 304 5ms pid=eugene_1774743355860
2026-04-21T22:08:59.941Z [INFO ] GET /api/supplog/2026-04-06/totals 304 5ms pid=eugene_1774743355860
2026-04-21T22:08:59.942Z [INFO ] GET /api/supplog/2026-04-07/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.943Z [INFO ] GET /api/supplog/2026-04-08/totals 304 2ms pid=eugene_1774743355860
